,f1,f2,f3,a1,a2,a3
174,-0.219095,-0.005851,0.307569,-0.216314,0.011081,0.28089
175,-0.219095,-0.005851,0.307569,-0.216614,0.02067,0.284679
176,-0.201135,-0.052528,0.311388,-0.196717,-0.019318,0.2886
177,-0.219623,0.015686,0.317747,-0.215275,0.025713,0.292584
178,-0.215728,-0.003405,0.351861,-0.214953,0.012294,0.314126
179,-0.210242,0.030213,0.336288,-0.213364,0.03929,0.303052
180,-0.204765,-0.04134,0.341334,-0.193993,-0.009518,0.302925
181,-0.204765,-0.04134,0.341334,-0.193981,-0.009653,0.302916
182,-0.207529,-0.029071,0.310028,-0.195454,0.001479,0.300418
183,-0.210783,0.024506,0.362569,-0.20065,0.030189,0.324795
184,-0.202967,0.043982,0.334402,-0.212383,0.042856,0.303286
185,-0.214697,-0.009657,0.324045,-0.207361,0.008358,0.290911
186,-0.200982,-0.036269,0.346697,-0.194748,-0.006056,0.306317
