,a1,a2,a3,h1,h2,h3,f1,f2,f3,x1,x2,x3
33,-0.25675,0.065189,0.323998,-0.26193299999999997,0.06851,0.2685,-0.26306399999999996,0.050751,0.312171,1e-06,2e-06,2e-06
34,-0.275393,-0.035672,0.320932,-0.222858,-0.019618,0.276573,-0.252206,-0.06926399999999999,0.323817,0.015482,0.032256,0.023042
35,-0.190898,-0.020997,0.335056,-0.19074100000000002,-0.005294,0.307633,-0.184892,-0.035085000000000005,0.339719,0.001103,0.007592,0.007183
36,-0.16933499999999999,0.031667,0.334014,-0.184659,0.048815,0.30241,-0.180954,0.039313,0.323252,1.1e-05,1.3000000000000001e-05,1e-05
37,-0.168131,0.033615,0.333915,-0.181196,0.044745,0.301705,-0.180954,0.039313,0.323252,1.1e-05,1.3000000000000001e-05,1e-05
38,-0.278371,-0.029776,0.321261,-0.22611599999999998,-0.01739,0.277611,-0.26339,-0.053797000000000005,0.33570900000000004,0.017374,0.029581,0.024784
39,-0.189915,-0.0046630000000000005,0.328871,-0.185246,0.017851,0.31799099999999997,-0.193501,-0.010228000000000001,0.33705300000000005,0.0,4e-06,3e-06
40,-0.245794,-0.002392,0.327324,-0.244206,0.003788,0.291147,-0.27546,-0.018234,0.355705,0.017672,0.021543,0.02515
41,-0.208127,-0.011163,0.336307,-0.189905,0.004497999999999999,0.31669899999999995,-0.191163,-0.020677,0.343246,0.000508,0.002475,0.002616
42,-0.17733800000000002,-0.005132,0.33010900000000004,-0.19131900000000002,0.012652,0.30209,-0.190458,-0.011758,0.313658,1e-06,6e-06,3e-06
43,-0.176637,-0.0035479999999999995,0.32812199999999997,-0.190038,0.014062,0.30087600000000003,-0.190458,-0.011758,0.313658,1e-06,6e-06,3e-06
44,-0.24961,0.06021,0.333978,-0.255575,0.072186,0.287234,-0.23976599999999998,0.06882,0.352161,7.000000000000001e-06,2.7000000000000002e-05,6.1e-05
45,-0.186598,-0.024118999999999998,0.33528800000000003,-0.185755,-0.017833,0.29499000000000003,-0.176647,-0.040059,0.338072,0.000808,0.009101,0.008272
46,-0.23453800000000002,-0.024576,0.330766,-0.214919,-0.022512,0.27700199999999997,-0.247029,-0.058055999999999996,0.318385,0.010601000000000001,0.022039,0.016038999999999998
47,-0.235461,0.06405,0.335825,-0.244842,0.071802,0.27486900000000003,-0.236724,0.070984,0.318254,1e-06,1e-06,3e-06
48,-0.233087,0.06685,0.336118,-0.243204,0.070515,0.274665,-0.236724,0.070984,0.318254,1e-06,1e-06,3e-06
49,-0.173207,-0.004902,0.32866300000000004,-0.18091500000000002,0.008011,0.30249899999999996,-0.185797,-0.015686000000000002,0.318002,4e-06,2.1e-05,1.2e-05
50,-0.169759,-0.023824,0.33793,-0.18798499999999999,-0.020066,0.291709,-0.16463,-0.052657,0.33581300000000003,0.000176,0.015269,0.012748
51,-0.255203,-0.04808,0.326937,-0.212648,-0.023615,0.276582,-0.231386,-0.074114,0.30495500000000003,0.008729,0.024304,0.014718
52,-0.170553,-0.026968000000000002,0.337188,-0.189324,-0.018118000000000002,0.29388600000000004,-0.16463,-0.052657,0.33581300000000003,0.000176,0.015269,0.012748
53,-0.173029,-5.1e-05,0.330271,-0.180496,0.012164,0.300293,-0.186858,-0.003592,0.314424,1e-06,2e-06,2e-06
54,-0.259808,-0.047080000000000004,0.323295,-0.197231,-0.029552999999999996,0.274307,-0.233264,-0.072157,0.304556,0.008643000000000001,0.023181,0.014129
55,-0.25488099999999997,0.055335,0.332163,-0.250103,0.071412,0.299746,-0.24533899999999997,0.061127,0.359087,2e-06,4e-06,4e-06
56,-0.252846,0.05857999999999999,0.33253499999999997,-0.251618,0.07115199999999999,0.303289,-0.24533899999999997,0.061127,0.359087,2e-06,4e-06,4e-06
