,I0,I1,I2,I3,I4,I5,I6,I7,I8,O0,O1,O2,O3,O4,O5,O6
107,0.9875569999999997,0.9084260000000003,23.0,42.00000000000001,161.0,459.99999999999994,43.0,170.0,622.0,-95.0,23.211976,75.039753,91.131448,-74.669953,-20.911132000000002,-0.33582699999999993
108,-3.7651150000000007,-26.600434000000003,23.0,166.0,142.0,359.0,166.0,147.0,455.0,-95.0,23.211976,75.039753,91.131448,-74.669953,-20.911132000000002,-0.33582699999999993
109,-15.626973000000001,2.840915000000004,23.0,34.0,97.0,490.0,34.0,93.0,623.0,-95.0,23.211976,75.039753,91.131448,-74.669953,-20.911132000000002,-0.33582699999999993
110,-4.847429000000002,8.761623,23.0,114.0,147.0,332.0,116.0,148.0,338.0,-82.413598,24.200715,51.903259000000006,85.89139200000001,-0.6477419999999957,0.0,-4.637145999999999
111,8.426222000000003,-1.7464500000000012,23.0,152.0,207.0,363.0,158.0,208.0,361.0,-82.413598,24.200715,51.903259000000006,85.89139200000001,-0.6477419999999957,0.0,-4.637145999999999
112,-18.018823,20.659205999999998,23.0,56.0,95.0,404.00000000000006,56.0,97.0,395.0,-82.413598,24.200715,51.903259000000006,85.89139200000001,-0.6477419999999957,0.0,-4.637145999999999
113,-11.988918,24.322210000000002,23.0,7.0,100.0,317.0,7.0,103.0,333.0,-93.875619,23.695972,63.714240999999994,80.042728,-0.3383780000000015,-0.1645939999999997,-1.2819510000000016
114,6.348069000000002,-24.649363,40.0,308.0,152.0,744.0,309.0,152.0,617.0,-84.673797,24.599726,42.566395,103.007699,-1.445041,0.0,-10.314039999999999
115,-7.249911,-25.506829,23.0,186.0,79.0,329.0,187.0,73.0,350.0,-95.0,23.51107,68.04095699999999,87.327995,-84.179879,-20.752916,-1.2568969999999988
116,6.358617,-14.188080999999999,23.0,153.0,171.0,338.0,155.0,177.0,357.0,-95.0,23.341082999999998,72.018644,85.329391,1.8090029999999953,-16.207342999999998,6.493581
117,8.867926999999998,-29.491225,40.0,169.0,122.99999999999999,900.0,168.00000000000003,124.99999999999999,1508.0,-95.0,23.715022,63.268462,106.0,-36.865912,-19.147571,3.409666999999999
118,1.5722720000000001,23.367992999999995,40.0,153.0,154.0,1313.0,153.0,144.0,891.0,-79.455747,25.068068,38.972291999999996,106.0,-36.814564999999995,0.0,-20.0
119,9.374297000000002,-26.651609000000004,23.0,202.00000000000003,122.0,340.0,202.00000000000003,124.0,348.0,-94.999997,23.647823000000002,64.840998,86.732435,-27.92640800000001,-18.907417000000002,4.828763
120,-3.5593200000000005,27.670456,24.0,10.0,129.0,432.99999999999994,10.0,131.0,435.0,-90.584696,23.996526,56.681281999999996,82.334184,-0.7169219999999996,0.0,-2.873794999999999
121,8.027796000000002,2.7463399999999987,24.0,141.0,206.0,404.00000000000006,147.0,206.0,405.0,-80.744173,24.30359,49.495985,88.62276,-1.2662649999999982,0.0,-5.769520000000001
122,-19.686189000000002,18.754593999999997,24.0,72.0,85.0,408.0,73.0,86.0,406.0,-80.744173,24.30359,49.495985,88.62276,-1.2662649999999982,0.0,-5.769520000000001
123,-6.053155999999999,24.165382,24.0,37.0,146.0,469.0,38.0,148.0,471.0,-81.957431,24.230048999999998,51.216839,88.028378,-0.7900239999999973,0.0,-5.428184999999999
124,4.019813999999998,6.216059000000001,24.0,35.0,185.0,553.0,38.0,196.0,635.0,-95.0,23.230183,74.61371,90.007787,-4.871637000000005,-17.004373,6.230525
125,1.2647360000000014,-21.961871,24.0,163.0,170.0,392.99999999999994,165.0,179.0,465.0,-95.0,23.230183,74.61371,90.007787,-4.871637000000005,-17.004373,6.230525
126,-14.181842000000001,29.14767,24.0,73.0,108.99999999999999,398.0,73.0,112.0,406.0,-72.752078,24.829694,37.185145,94.158337,-1.3748050000000032,0.0,-9.623833
127,-10.70956,-26.687946000000004,24.0,161.0,67.0,383.00000000000006,161.0,55.0,504.0,-95.0,23.474762,68.89055400000001,92.517171,-47.260056000000006,-20.253664,2.9119240000000004
128,9.744927,-17.322639000000002,24.999999999999996,228.0,143.0,381.0,229.0,144.0,388.0,-95.0,23.884468,59.303445999999994,83.38870300000002,-10.666920999999995,-17.172531,6.015389
129,-4.375494999999999,-3.2753909999999986,24.999999999999996,163.0,80.0,348.0,165.0,80.0,351.0,-95.0,23.884468,59.303445999999994,83.38870300000002,-10.666920999999995,-17.172531,6.015389
130,-14.249442000000002,3.1500400000000024,24.999999999999996,73.0,60.0,439.00000000000006,76.0,52.0,461.0,-95.0,23.543131,67.29073000000001,88.594617,-23.799470000000007,-18.630956,5.112330999999999
131,9.960272999999997,28.640107999999998,24.999999999999996,96.0,165.0,392.99999999999994,97.0,159.0,397.0,-81.182885,24.855739,36.575706,90.77303399999998,-1.2309330000000036,0.0,-7.797994
132,-2.271567999999999,10.740522,24.999999999999996,181.0,120.0,379.0,181.0,120.0,357.0,-77.969268,24.989349,33.449209,93.750574,-1.6358409999999954,0.0,-9.352712
133,-11.318949,-4.7696809999999985,24.999999999999996,256.0,78.0,480.0,257.0,83.0,447.0,-77.969268,24.989349,33.449209,93.750574,-1.6358409999999954,0.0,-9.352712
134,9.021647999999999,22.403320999999995,24.999999999999996,36.0,191.0,522.0,40.0,191.0,499.00000000000006,-88.98907,24.065652,55.063728000000005,85.083268,-0.6559690000000044,0.0,-3.8179489999999987
135,7.295062,-14.963870999999997,24.999999999999996,205.0,179.0,402.0,209.0,182.0,393.0,-88.98907,24.065652,55.063728000000005,85.083268,-0.6559690000000044,0.0,-3.8179489999999987
136,6.976267,12.365416,26.0,36.0,138.0,517.0,37.0,139.0,526.0,-95.0,23.624606,65.384201,89.30265899999999,79.058047,-8.596022999999999,3.0408239999999993
137,-17.419154000000002,15.315363,26.0,13.000000000000002,27.0,616.0,18.0,18.0,659.0,-95.0,23.624606,65.384201,89.30265899999999,79.058047,-8.596022999999999,3.0408239999999993
138,-19.753154000000002,-1.0084109999999986,26.0,172.0,84.0,415.00000000000006,174.00000000000003,85.0,409.0,-77.261517,24.528471,44.233757000000004,94.03855200000001,-1.2783770000000039,0.0,-8.02335
139,7.587791999999999,-24.402106,26.0,307.0,147.0,515.0,307.0,148.0,486.0,-87.98473800000001,24.490363000000002,45.125498,86.295433,-1.0439190000000016,0.0,-5.67664
