    24	-21.729563 0.000000 -8.088461 0.000000 0.000000 28.000000 -59.787090 24.929065 34.859855 97.609948 -1.447490 0.000000 -11.872319 -0.225921 0.026785 0.266258 -0.225922 0.026786 0.266257 0.000001 -0.000002 0.000001 
    25	-34.940600 0.000000 -8.088461 0.000000 0.000000 28.000000 -44.669507 25.014207 32.867540 101.201364 -1.693259 0.000000 -14.942683 -0.229515 0.026785 0.215437 -0.229520 0.026789 0.215435 0.000005 -0.000004 0.000002 
    26	-31.469236 0.000000 -8.088461 0.000000 0.000000 28.000000 -46.278358 25.007529 33.023806 100.869947 -1.724163 0.000000 -14.464226 -0.229688 0.026785 0.220927 -0.229690 0.026786 0.220925 0.000002 -0.000001 0.000001 
    27	-17.287215 0.000000 -8.088461 0.000000 0.000000 28.000000 -62.514563 24.907759 35.358426 96.954547 -1.904976 0.000000 -11.241324 -0.224015 0.026786 0.275314 -0.224017 0.026788 0.275312 0.000001 -0.000002 0.000001 
    28	-5.635787 0.000000 -8.088461 0.000000 0.000000 28.000000 -75.863100 24.788261 38.156974 93.704830 -1.616090 -0.001205 -9.124984 -0.209449 0.026785 0.317968 -0.209450 0.026788 0.317966 0.000001 -0.000003 0.000002 
    29	6.226625 0.000000 -8.088461 0.000000 0.000000 28.000000 -89.249756 24.639392 41.638225 90.994408 -0.132063 -0.000012 -6.523378 -0.186110 0.026784 0.357412 -0.186120 0.026829 0.357373 0.000010 -0.000045 0.000038 
    30	13.475209 0.000000 -8.088461 0.000000 0.000000 28.000000 -95.000000 24.415738 46.871706 94.921169 5.142391 -15.127504 6.524506 -0.168018 0.026785 0.378850 -0.167935 0.027997 0.376632 -0.000083 -0.001212 0.002218 
    31	18.466899 0.000000 -8.088461 0.000000 0.000000 28.000000 -95.000000 24.509085 44.687388 98.402951 -52.128900 -20.022802 2.991498 -0.153991 0.026785 0.392258 -0.154465 0.033356 0.379471 0.000474 -0.006571 0.012787 
    32	4.746430 0.000000 -8.088461 0.000000 0.000000 28.000000 -89.998031 24.627314 41.920845 90.611397 -1.039677 -0.000000 -6.790397 -0.184711 0.026785 0.359289 -0.184712 0.026788 0.359286 0.000001 -0.000003 0.000003 
    33	-6.493609 0.000000 -8.088461 0.000000 0.000000 28.000000 -77.203349 24.775060 38.463591 93.466488 -1.391370 0.000000 -8.747218 -0.207494 0.026785 0.322125 -0.207494 0.026787 0.322123 0.000001 -0.000001 0.000001 
