,I1,I2,I3,O1,O2,O3,O4,O5,O6,O7
34,0.6071934659535235,0.3445270340387133,0.0,0.16033211428571437,0.03156106411529702,0.5139596153846154,0.5104976567890085,0.4716362600045283,1.0,0.25913695063470776
35,0.6071934659535235,0.42896431347038116,0.0,0.11316810476190475,0.025899518807804667,0.6011474017094018,0.32327696293271746,0.47746263140663897,1.0,0.3199033046960109
36,0.6071934659535235,0.5310778199761288,0.0,0.03150720000000007,0.017684051488725927,0.7276657777777779,0.09527264388160761,0.48052403492321016,1.0,0.42124970447833476
37,0.6071934659535235,0.41002284229328173,0.0,0.11244525714285725,0.025758817512757992,0.6033142820512822,0.3253010986199931,0.4690715231692099,1.0,0.3408585845019724
38,0.6071934659535235,0.33170872293759013,0.0,0.15649353333333338,0.031041570622296843,0.5219598205128206,0.49360449761378566,0.47203974974535723,1.0,0.26672286106391074
39,0.6071934659535235,0.27959547002591606,0.0,0.1785523714285714,0.03423196014981922,0.47287411111111116,0.5964946748188749,0.47119871076215114,0.999999921769171,0.21640851623211055
40,0.6071934659535235,0.19119026122216265,0.0,0.20368016190476212,0.03915405093106361,0.3970277606837607,0.7808633300323677,0.4643504497118144,1.0,0.17483115537539806
41,0.6071934659535235,0.1016629012147588,0.0,0.21476316190476175,0.06040524518427931,0.33262070940170946,0.9463133257892178,0.46084433754220105,0.9999434279347829,0.12830030803968606
42,0.6071934659535235,0.03780382923347503,0.0,0.2195645142857141,0.12856869795925457,0.3050893931623932,0.9989055586152378,0.4556622607990486,0.9967950505723753,0.008642329897934564
43,0.6741878795442805,0.08579309725573453,0.0,0.18233771428571433,0.09482363390068482,0.3254199145299146,0.9908914078477218,0.4599863937492349,0.9941356605946989,0.1358902937459721
44,0.7660994563817871,0.1516309540197731,0.0,0.10754786666666671,0.04059183011449791,0.3748859487179488,0.8238476767729366,0.4626286463141475,0.9999999441208364,0.1828336924019816
