,I1,u1,I2,u2,u3,I3,O1,O2,O3,O4,O5,O6,O7,x1,x2,x3,y1,y2,y3,u12,u13,u14
474,-26.70712,0,-52.432858,0,0,27,2.104106,86.140434,-24.875809,106,-36.814631,0,-20,-0.166246,0.155057,0.277356,-0.188197,0.161404,0.29177,0.021951,-0.006347,-0.014415
475,-15.858623,0,-41.584361,0,0,27,-51.914744,48.675024,13.541212,106,-36.81461,0,-20,-0.18006,0.132466,0.293744,-0.188636,0.133598,0.299746,0.008575,-0.001132,-0.006002
476,-7.509902,0,-33.23564,0,0,27,-61.558284,26.010798,9.547502,105.999995,-4.504412,-0.000017,-17.097046,-0.185835,0.110208,0.315289,-0.185868,0.110221,0.315281,0.000033,-0.000013,0.000008
477,-1.658573,0,-27.384311,0,0,27,-69.599013,25.713455,16.505136,102.181142,-2.562203,0,-13.83963,-0.186115,0.093109,0.332518,-0.18612,0.093112,0.332513,0.000005,-0.000003,0.000005
478,1.720008,0,-24.00573,0,0,27,-74.558193,25.529195,20.816824,99.875832,-2.529914,0,-11.597896,-0.184654,0.082698,0.34301,-0.184705,0.082738,0.342969,0.000052,-0.000041,0.000041
479,6.024163,0,-19.701575,0,0,27,-81.328712,25.282128,26.598191,96.322466,-1.805019,0,-10.355861,-0.181014,0.069186,0.356423,-0.181015,0.069188,0.35642,0.000002,-0.000002,0.000002
480,9.526022,0,-16.199716,0,0,27,-87.076766,25.069005,31.587456,93.505633,-1.872622,-0.001354,-8.862149,-0.176543,0.057924,0.36729,-0.176544,0.057927,0.367286,0.000001,-0.000003,0.000004
481,24.210179,0,-16.199716,0,0,27,-95,24.861501,36.44086,101.675331,-48.311559,-19.6261,3.604746,-0.135868,0.054695,0.405845,-0.137773,0.060464,0.389988,0.001904,-0.005769,0.015856
482,28.607635,0,-16.199716,0,0,27,-95,24.916072,35.1639,104.724994,18.142251,-13.282102,6.380646,-0.12182,0.054595,0.415058,-0.126441,0.063609,0.389411,0.004621,-0.009014,0.025646
483,28.607635,0,-25.864852,0,0,27,-95,25.200305,28.512851,106,-37.499992,-16.892944,2.404521,-0.109528,0.082118,0.412053,-0.11454,0.086661,0.393679,0.005012,-0.004543,0.018374
484,28.607635,0,-39.074571,0,0,27,-95,25.63473,18.347316,106,21.080631,-18.307659,-9.492211,-0.088715,0.120501,0.400951,-0.09405,0.121682,0.391653,0.005335,-0.001182,0.009298
485,28.607635,0,-43.712994,0,0,27,-95,26.365286,15.000002,106,23.987538,-21.563017,-15.191016,-0.079702,0.132572,0.396048,-0.085895,0.133475,0.387642,0.006193,-0.000903,0.008406
486,28.607635,0,-49.324183,0,0,27,-21.665121,100.000001,-37,106,36.311429,-35.221241,-14.866803,-0.067638,0.146079,0.389472,-0.068326,0.155063,0.381666,0.000688,-0.008984,0.007806
487,28.607635,0,-52.401334,0,0,27,-25.725313,100.000001,-37,106,-37.5,-0.382905,-20,-0.060568,0.152872,0.385616,-0.061166,0.157084,0.382703,0.000598,-0.004212,0.002913
488,20.308816,0,-52.401334,0,0,27,-27.385257,99.985126,-30.291575,106,-36.814305,0,-20,-0.078075,0.15489,0.3767,-0.078477,0.155157,0.377904,0.000402,-0.000268,-0.001204
489,14.52126,0,-52.401334,0,0,27,-88.240028,30.062827,7.711444,106,-36.813864,0,-20,-0.092834,0.154979,0.368837,-0.094119,0.155682,0.37187,0.001285,-0.000703,-0.003033
490,3.485051,0,-52.401334,0,0,27,-79.170232,26.266051,3.575016,106,-36.814663,0,-20,-0.118783,0.15499,0.349858,-0.123,0.156743,0.356677,0.004217,-0.001753,-0.006819
491,-5.040656,0,-52.401334,0,0,27,-70.711824,29.406153,2.512546,106,-36.814635,0,-20,-0.135997,0.154992,0.332062,-0.143753,0.157772,0.341776,0.007756,-0.002781,-0.009714
492,-18.744464,0,-52.401334,0,0,27,8.210354,88.845826,-36.992456,106,-36.814791,0,-20,-0.157639,0.15499,0.298669,-0.173559,0.159857,0.312047,0.01592,-0.004866,-0.013378
493,-28.235226,0,-52.401334,0,0,27,9.977989,86.212032,-31.159939,106,-36.814628,0,-20,-0.167662,0.154991,0.273045,-0.190862,0.161629,0.287504,0.023199,-0.006638,-0.014459
494,-22.890136,0,-52.401334,0,0,27,-47.776144,99.997958,29.304095,106,-36.814631,0,-20,-0.164668,0.154991,0.282099,-0.185213,0.160985,0.296363,0.020546,-0.005993,-0.014264
495,-10.711588,0,-52.401334,0,0,27,-63.111566,30.66001,1.006457,106,-36.81463,0,-20,-0.149176,0.154991,0.313868,-0.161166,0.15888,0.325877,0.01199,-0.003889,-0.012009
496,-7.004737,0,-52.401334,0,0,27,-62.1645,49.459925,7.384559,106,-36.814613,0,-20,-0.143158,0.154991,0.322818,-0.152996,0.158327,0.333785,0.009837,-0.003336,-0.010966
497,1.943508,0,-52.401334,0,0,27,-72.086379,46.269412,9.244943,106,-36.814589,0,-20,-0.126273,0.154991,0.34275,-0.131824,0.157149,0.350802,0.005551,-0.002158,-0.008051
498,8.344196,0,-52.401334,0,0,27,-80.501203,32.348091,6.381644,106,-36.814225,0,-20,-0.112438,0.154991,0.355226,-0.115727,0.156444,0.36105,0.003289,-0.001453,-0.005824
499,19.958058,0,-52.401334,0,0,27,-91.660611,27.133784,11.429779,106,20.897895,-37.094254,-20,-0.084267,0.154991,0.37356,-0.084268,0.154992,0.373562,0.000001,-0.000001,-0.000002
500,27.384535,0,-52.401334,0,0,27,-22.67854,100.000001,-37,106,25.474859,-32.994081,-19.194581,-0.064473,0.154991,0.382193,-0.06452,0.155481,0.381775,0.000047,-0.00049,0.000418
501,24.156546,0,-52.401334,0,0,27,-21.505995,100.000001,-36.253207,106,18.094551,-33.728799,-20,-0.06762,0.154992,0.381022,-0.06762,0.154994,0.381023,0,-0.000002,-0.000001
502,19.987036,0,-52.401334,0,0,27,-93.560406,26.886093,11.677185,106,20.043843,-35.89828,-20,-0.078795,0.154992,0.376258,-0.078797,0.154992,0.37626,0.000002,-0.000001,-0.000002
503,14.946112,0,-52.401334,0,0,27,-89.184214,26.555605,6.544007,106,-36.814551,0,-20,-0.091696,0.154992,0.369491,-0.092902,0.155661,0.372387,0.001206,-0.000669,-0.002896
504,10.668837,0,-52.401334,0,0,27,-85.514357,26.227237,5.351166,106,-36.814624,0,-20,-0.102265,0.154991,0.362802,-0.104371,0.156025,0.367122,0.002107,-0.001034,-0.00432
505,5.515732,0,-52.401334,0,0,27,-79.729082,32.45713,6.203504,106,-36.81448,0,-20,-0.114304,0.154991,0.353705,-0.117849,0.156528,0.359816,0.003544,-0.001537,-0.006111
506,-4.79595,0,-52.401334,0,0,27,-71.679414,26.50444,1.629028,106,-36.814244,0,-20,-0.135563,0.154991,0.332582,-0.143207,0.157741,0.34222,0.007643,-0.00275,-0.009638
507,5.632252,0,-52.401334,0,0,27,-79.271976,26.265212,3.6027,106,-36.814512,0,-20,-0.118522,0.154991,0.350083,-0.122699,0.156732,0.356862,0.004177,-0.001741,-0.006779
508,19.618094,0,-52.401334,0,0,27,-91.341206,27.296827,11.450846,106,20.959338,-37.298439,-19.999997,-0.085129,0.154991,0.373112,-0.085136,0.154994,0.37312,0.000007,-0.000003,-0.000008
509,29.393993,0,-52.401334,0,0,27,-24.221625,100.000001,-36.999999,106,32.843831,-35.138329,-16.901295,-0.058845,0.154991,0.384112,-0.059059,0.15677,0.382591,0.000214,-0.001778,0.001522
510,16.888686,0,-39.896026,0,0,27,-89.056472,25.954198,10.871744,104.997446,-3.195519,0,-12.602445,-0.113782,0.128215,0.380987,-0.113786,0.128217,0.380985,0.000004,-0.000002,0.000002
511,2.6225,0,-25.629841,0,0,27,-77.277663,25.576665,20.045335,99.615447,-3.278284,-0.09655,-12.607629,-0.175865,0.087842,0.351817,-0.176041,0.087978,0.351683,0.000176,-0.000136,0.000134
512,-7.413372,0,-15.593969,0,0,27,-70.630082,25.222615,27.990788,96.910049,-1.674298,0,-11.225507,-0.207947,0.055976,0.319128,-0.20795,0.055979,0.319125,0.000003,-0.000003,0.000003
513,-14.952862,0,-8.054479,0,0,27,-66.745606,24.922924,35.004752,95.012385,-1.75115,-0.011927,-9.884594,-0.224132,0.030801,0.29057,-0.224241,0.03107,0.290384,0.00011,-0.000269,0.000186
514,-26.024736,0,3.017395,0,0,27,-64.153793,24.383351,47.629585,92.043612,-1.047494,0,-8.211934,-0.234743,-0.006865,0.24684,-0.234743,-0.006863,0.246839,0,-0.000003,0.000001
515,-32.933442,0,9.926101,0,0,27,-64.813612,23.974887,57.187626,90.352932,-0.946172,0,-6.409308,-0.233802,-0.030194,0.220726,-0.233802,-0.030189,0.220725,0,-0.000005,0.000001
516,-28.563029,0,14.296513,0,0,28,-73.722069,23.652848,64.723336,88.970343,-0.602022,0,-4.139647,-0.226934,-0.043686,0.23444,-0.226932,-0.043673,0.234436,-0.000001,-0.000013,0.000004
517,-18.977264,0,23.882279,0,0,28,-95,22.999999,80,88.26385,-10.945504,-0.280106,9.124406,-0.213165,-0.073846,0.273402,-0.209891,-0.061611,0.270767,-0.003274,-0.012235,0.002635
518,-10.184231,0,22.091643,0,0,28,-95,23.075519,78.232853,91.065434,-66.980464,-20.922207,0.506696,-0.201654,-0.074719,0.307635,-0.197468,-0.054007,0.294897,-0.004185,-0.020712,0.012738
519,-10.184231,0,8.003446,0,0,28,-89.885837,23.725201,63.030279,85.572578,-0.6132,0,-2.654809,-0.214279,-0.029951,0.305534,-0.214278,-0.02995,0.305533,0,-0.000001,0.000001
520,-10.184231,0,-1.895218,0,0,28,-78.032598,24.421028,46.747934,90.842074,-1.048826,-0.000001,-7.020046,-0.216586,0.002876,0.30513,-0.216587,0.002878,0.305128,0,-0.000003,0.000001
521,-10.184231,0,-9.231121,0,0,28,-71.81203,24.83085,37.158088,94.525885,-2.136177,0,-10.177223,-0.214702,0.027079,0.305469,-0.214724,0.027132,0.305433,0.000022,-0.000053,0.000036
522,-10.184231,0,-20.110174,0,0,28,-65.03369,25.364708,24.665808,100.448921,-2.285721,0,-13.185326,-0.206324,0.0622,0.306975,-0.206325,0.062201,0.306974,0.000002,-0.000001,0.000001
523,-10.184231,0,-26.808329,0,0,28,-62.137893,25.696505,17.886091,103.53417,-4.599199,-0.000809,-15.243738,-0.197948,0.082816,0.30848,-0.198242,0.083011,0.308323,0.000294,-0.000195,0.000157
524,-0.012191,0,-26.808329,0,0,28,-72.015972,25.606363,19.011286,102.412433,-2.163043,-0.000001,-12.966711,-0.180908,0.08568,0.337645,-0.180988,0.085741,0.337589,0.00008,-0.00006,0.000056
525,7.71406,0,-26.808329,0,0,28,-80.542567,25.515954,21.126657,100.650805,-2.056378,0,-11.962667,-0.164162,0.085841,0.359874,-0.164165,0.085843,0.359871,0.000004,-0.000002,0.000003
526,12.928944,0,-26.808329,0,0,28,-86.168418,25.450935,22.648111,99.559917,-2.138313,0,-11.257794,-0.15129,0.085855,0.373512,-0.151293,0.085858,0.373509,0.000003,-0.000003,0.000003
527,17.343627,0,-26.808329,0,0,28,-90.869427,25.39463,23.965654,98.750395,-2.029874,0,-10.610954,-0.139416,0.085857,0.384147,-0.139422,0.085861,0.384143,0.000006,-0.000004,0.000005
528,20.982151,0,-26.808329,0,0,28,-94.660289,25.34645,25.093058,98.080234,-2.435553,-0.000001,-10.165255,-0.129159,0.085857,0.392113,-0.129162,0.08586,0.392109,0.000002,-0.000003,0.000004
529,29.783583,0,-26.808329,0,0,28,-95,25.24643,27.43352,106,27.534754,-15.734962,-1.442892,-0.10208,0.085857,0.408778,-0.108264,0.089906,0.392447,0.006183,-0.004049,0.016332
530,20.850128,0,-17.874874,0,0,28,-95,24.916966,35.142993,102.478632,11.939054,-13.957313,6.47193,-0.132924,0.061669,0.39991,-0.134152,0.064717,0.391018,0.001228,-0.003048,0.008891
531,8.486594,0,-5.511339,0,0,28,-95,24.465084,45.717025,90.301975,-0.52516,-2.879124,-2.446084,-0.176202,0.021751,0.370685,-0.176202,0.021753,0.370684,0,-0.000002,0.000001
