,h1,h2,h3,a1,a2,a3,f1,f2,f3,x1,x2,x3
39,-0.140085,0.11414200000000001,0.36595500000000003,-0.160439,0.088529,0.327639,-0.166484,0.096679,0.349358,-0.166489,0.096682,0.349356
40,-0.14266800000000002,0.090293,0.315888,-0.17600000000000002,0.112951,0.299861,-0.159428,0.111448,0.31464000000000003,-0.17006500000000002,0.111544,0.324614
41,-0.231382,0.06611900000000001,0.239839,-0.219412,0.053466,0.22989400000000002,-0.244324,0.059658,0.231678,-0.244475,0.059759000000000013,0.231611
42,-0.227021,0.07692,0.24172600000000002,-0.220652,0.059440999999999994,0.222289,-0.23975900000000006,0.075172,0.234072,-0.239762,0.075173,0.234072
43,-0.22964099999999998,-0.005351,0.230832,-0.209862,0.001146,0.232213,-0.231117,-0.004275999999999999,0.23462,-0.231118,-0.004272,0.234618
44,-0.0859,0.119467,0.368299,-0.130856,0.146589,0.343206,-0.080813,0.131795,0.368994,-0.084601,0.132968,0.379477
45,-0.238858,-0.042071,0.22719299999999998,-0.229125,0.0027649999999999997,0.23396799999999998,-0.250697,-0.023456,0.228335,-0.250697,-0.023453,0.228334
46,-0.15759,0.116382,0.31774,-0.180857,0.120245,0.293004,-0.157183,0.114142,0.314998,-0.168705,0.114459,0.325996
47,-0.192207,0.074388,0.295367,-0.17798,0.042024,0.287796,-0.19705,0.055803,0.292605,-0.197294,0.055974,0.292512
48,-0.21454299999999998,0.011912,0.24026999999999998,-0.19036199999999998,0.00146,0.244975,-0.215928,0.005724,0.236634,-0.215977,0.00579,0.236602
49,-0.08326499999999999,0.153341,0.376073,-0.12046099999999998,0.17123,0.344812,-0.060988,0.152529,0.379303,-0.061096,0.153387,0.378665
50,-0.120262,0.136447,0.353025,-0.173533,0.169932,0.28578000000000003,-0.133597,0.154585,0.325744,-0.14536400000000002,0.15884700000000002,0.340164
51,-0.158251,0.13583,0.322941,-0.192879,0.138758,0.26799,-0.167238,0.13626,0.30190500000000003,-0.179092,0.138242,0.31150100000000003
52,-0.231773,0.059082,0.226096,-0.22435100000000002,0.045952,0.196211,-0.2441,0.058578,0.208681,-0.24424,0.058648,0.208646
53,-0.227975,0.055423,0.300613,-0.19931600000000002,0.038451,0.30159400000000003,-0.231106,0.039349,0.31550100000000003,-0.231106,0.039352,0.315499
54,-0.204322,0.060572,0.34976599999999997,-0.188694,0.042045,0.325081,-0.204865,0.039349,0.363739,-0.204865,0.039362,0.3637260000000001
55,-0.07998,0.120447,0.370605,-0.122798,0.160969,0.345681,-0.067936,0.134685,0.372218,-0.077606,0.137737,0.381287
56,-0.21156,0.031056999999999998,0.306894,-0.213348,0.014371,0.307636,-0.208579,-0.027860000000000003,0.361193,-0.203595,-0.011933,0.34332
57,-0.100623,0.12406199999999999,0.36495500000000003,-0.140807,0.144602,0.335282,-0.100099,0.128627,0.360555,-0.105211,0.129687,0.371164
58,-0.14652300000000001,0.131855,0.334352,-0.182845,0.146068,0.280475,-0.1477,0.128626,0.310417,-0.165467,0.131029,0.327958
59,-0.227821,0.029922000000000004,0.28057600000000005,-0.19375599999999998,0.015022999999999998,0.284912,-0.219186,0.013277,0.29680700000000004,-0.219187,0.013281,0.29680500000000004
60,-0.18205,-0.083195,0.265881,-0.23299899999999998,-0.021353,0.212637,-0.206719,-0.101009,0.213339,-0.201627,-0.071292,0.211371
61,-0.216283,-0.024364,0.253419,-0.195215,-0.013799,0.254828,-0.211655,-0.022664,0.262792,-0.211655,-0.022659,0.262791
62,-0.214844,-0.024582,0.248406,-0.194113,-0.013438999999999998,0.246763,-0.213506,-0.025417,0.247993,-0.21350700000000006,-0.025414,0.247992
63,-0.187855,0.136499,0.280206,-0.213146,0.14293699999999998,0.207508,-0.195434,0.151998,0.258764,-0.205621,0.154309,0.263369
64,-0.209637,0.018544,0.231483,-0.199261,0.013031000000000001,0.208249,-0.215091,0.018802000000000003,0.212846,-0.215093,0.018803,0.212846
