,Unnamed: 0,I1,I2,I3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5,I6,I7,I8,I9
385,432,0.987557,0.9084260000000001,23,-95.0,23.211976,75.039753,91.13144799999999,-74.669953,-20.911132000000002,-0.335827,-0.199311,-0.064453,0.316855,0.0033810000000000003,0.016850999999999998,0.01168,42,161,460,43,170,622.0
386,433,-3.765115,-26.600434000000003,23,-95.0,23.211976,75.039753,91.13144799999999,-74.669953,-20.911132000000002,-0.335827,-0.199311,-0.064453,0.316855,0.0033810000000000003,0.016850999999999998,0.01168,166,142,359,166,147,455.0
387,434,-15.626973000000001,2.8409150000000003,23,-95.0,23.211976,75.039753,91.13144799999999,-74.669953,-20.911132000000002,-0.335827,-0.199311,-0.064453,0.316855,0.0033810000000000003,0.016850999999999998,0.01168,34,97,490,34,93,623.0
388,435,-14.233694,-29.633335,23,-95.0,23.211976,75.039753,91.13144799999999,-74.669953,-20.911132000000002,-0.335827,-0.199311,-0.064453,0.316855,0.0033810000000000003,0.016850999999999998,0.01168,181,104,351,180,99,449.0
389,436,-4.847429,8.761623,23,-82.413598,24.200715,51.903259000000006,85.89139200000001,-0.647742,0.0,-4.6371459999999995,-0.226109,-0.005767,0.306077,0.0,3e-06,2e-06,114,147,332,116,148,338.0
390,437,8.426222000000001,-1.74645,23,-82.413598,24.200715,51.903259000000006,85.89139200000001,-0.647742,0.0,-4.6371459999999995,-0.226109,-0.005767,0.306077,0.0,3e-06,2e-06,152,207,363,158,208,361.0
391,438,-18.018823,20.659206,23,-82.413598,24.200715,51.903259000000006,85.89139200000001,-0.647742,0.0,-4.6371459999999995,-0.226109,-0.005767,0.306077,0.0,3e-06,2e-06,56,95,404,56,97,395.0
392,439,-16.33887,-16.300619,23,-82.413598,24.200715,51.903259000000006,85.89139200000001,-0.647742,0.0,-4.6371459999999995,-0.226109,-0.005767,0.306077,0.0,3e-06,2e-06,221,100,336,221,99,336.0
393,441,-7.351033,-22.531264,23,-95.0,23.223311,74.774498,86.42439300000001,22.186815,-13.968185,6.7444,-0.213067,-0.046593,0.30885100000000004,0.001146,0.003735,0.0026850000000000003,183,139,342,183,141,357.0
394,442,-17.904512,8.526421000000001,23,-95.0,23.223311,74.774498,86.42439300000001,22.186815,-13.968185,6.7444,-0.213067,-0.046593,0.30885100000000004,0.001146,0.003735,0.0026850000000000003,45,94,434,45,92,478.0
395,443,-16.464598000000002,-18.372423,23,-95.0,23.223311,74.774498,86.42439300000001,22.186815,-13.968185,6.7444,-0.213067,-0.046593,0.30885100000000004,0.001146,0.003735,0.0026850000000000003,164,101,338,164,98,349.0
396,444,7.8348889999999995,-3.164397,23,-93.875619,23.695972,63.714241,80.042728,-0.338378,-0.16459400000000002,-1.281951,-0.225253,-0.023183000000000002,0.318281,0.0,1e-06,1e-06,137,183,342,140,187,322.0
397,445,6.161055999999999,-21.204489000000002,23,-93.875619,23.695972,63.714241,80.042728,-0.338378,-0.16459400000000002,-1.281951,-0.225253,-0.023183000000000002,0.318281,0.0,1e-06,1e-06,214,180,351,217,185,347.0
398,446,-11.988918,24.322210000000002,23,-93.875619,23.695972,63.714241,80.042728,-0.338378,-0.16459400000000002,-1.281951,-0.225253,-0.023183000000000002,0.318281,0.0,1e-06,1e-06,7,100,317,7,103,333.0
399,447,-14.286807999999999,-10.129559,23,-93.875619,23.695972,63.714241,80.042728,-0.338378,-0.16459400000000002,-1.281951,-0.225253,-0.023183000000000002,0.318281,0.0,1e-06,1e-06,165,92,308,166,90,304.0
400,449,6.47688,-19.271535,23,-95.0,23.51107,68.04095699999999,87.327995,-84.179879,-20.752916,-1.256897,-0.212732,-0.05175,0.347695,0.006906999999999999,0.023449,0.021266,159,133,313,159,135,335.0
401,451,-7.249911,-25.506829,23,-95.0,23.51107,68.04095699999999,87.327995,-84.179879,-20.752916,-1.256897,-0.212732,-0.05175,0.347695,0.006906999999999999,0.023449,0.021266,186,79,329,187,73,350.0
402,452,0.242261,-13.770476,23,-95.0,23.341082999999998,72.018644,85.329391,1.809003,-16.207342999999998,6.493581,-0.21703499999999998,-0.04343,0.32071,0.002604,0.007725,0.00617,153,146,326,154,148,339.0
403,453,6.358617,-14.188081,23,-95.0,23.341082999999998,72.018644,85.329391,1.809003,-16.207342999999998,6.493581,-0.21703499999999998,-0.04343,0.32071,0.002604,0.007725,0.00617,153,171,338,155,177,357.0
