,I1,I2,I3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5,I6,I7,I8,I9
133,9.483396,11.317762,18,-95,24.243873,50.893353,66.489806,-71.49617,-20.672117,0.808483,-0.26824,0.041947,0.360608,0.004182,0.00321,0.006368,154,136,181,154,135,188
134,-0.404801,25.002449,18,-95,24.243873,50.893353,66.489806,-71.49617,-20.672117,0.808483,-0.26824,0.041947,0.360608,0.004182,0.00321,0.006368,100,95,186,101,96,207
135,-13.313976,-13.587106,18,-95,24.243873,50.893353,66.489806,-71.49617,-20.672117,0.808483,-0.26824,0.041947,0.360608,0.004182,0.00321,0.006368,274,25,267,278,30,293
136,2.90199,27.822763,18,-91.817026,24.371327,47.91093,65.452112,-0.247929,0,0.472653,-0.271122,0.036701,0.335025,0.000006,0.000008,0.000007,80,139,184,80,137,201
137,0.739463,7.12547,18,-91.817026,24.371327,47.91093,65.452112,-0.247929,0,0.472653,-0.271122,0.036701,0.335025,0.000006,0.000008,0.000007,167,130,169,167,129,180
138,-11.734428,12.419433,18,-91.817026,24.371327,47.91093,65.452112,-0.247929,0,0.472653,-0.271122,0.036701,0.335025,0.000006,0.000008,0.000007,149,78,169,149,80,186
139,-4.942968,-0.454216,18,-91.817026,24.371327,47.91093,65.452112,-0.247929,0,0.472653,-0.271122,0.036701,0.335025,0.000006,0.000008,0.000007,201,102,169,201,102,188
140,4.783606,14.072311,18,-92.625418,24.417893,46.821328,65.017132,-0.049548,-0.000411,0.334467,-0.269596,0.040957,0.340407,0.000001,0.000002,0.000001,148,137,169,148,135,180
141,3.487307,-11.147445,18,-92.625418,24.417893,46.821328,65.017132,-0.049548,-0.000411,0.334467,-0.269596,0.040957,0.340407,0.000001,0.000002,0.000001,259,136,210,259,135,217
142,-15.910739,17.951891,18,-92.625418,24.417893,46.821328,65.017132,-0.049548,-0.000411,0.334467,-0.269596,0.040957,0.340407,0.000001,0.000002,0.000001,132,48,189,134,53,200
144,8.489952,20.460966,18,-77.713712,24.907314,35.368839,77.111197,-0.880769,0,-4.462551,-0.263064,0.050751,0.312171,0.000001,0.000002,0.000002,131,191,219,133,185,219
145,1.177491,-1.565265,18,-77.713712,24.907314,35.368839,77.111197,-0.880769,0,-4.462551,-0.263064,0.050751,0.312171,0.000001,0.000002,0.000002,225,164,222,226,160,225
146,-12.502582,28.499131,18,-77.713712,24.907314,35.368839,77.111197,-0.880769,0,-4.462551,-0.263064,0.050751,0.312171,0.000001,0.000002,0.000002,96,101,202,96,104,219
147,-17.962546,-18.294614,18,-77.713712,24.907314,35.368839,77.111197,-0.880769,0,-4.462551,-0.263064,0.050751,0.312171,0.000001,0.000002,0.000002,312,70,223,312,71,209
148,6.577688,2.248933,18,-95,23.164993,76.139142,79.132441,-82.187115,-20.810369,-1.176478,-0.252206,-0.069264,0.323817,0.015482,0.032256,0.023042,59,167,263,60,172,287
149,4.155275,-21.291037,18,-95,23.164993,76.139142,79.132441,-82.187115,-20.810369,-1.176478,-0.252206,-0.069264,0.323817,0.015482,0.032256,0.023042,161,156,210,162,160,237
150,-16.231297,-4.263798,18,-95,23.164993,76.139142,79.132441,-82.187115,-20.810369,-1.176478,-0.252206,-0.069264,0.323817,0.015482,0.032256,0.023042,91,77,235,92,72,267
151,-19.52039,-20.532695,18,-95,23.164993,76.139142,79.132441,-82.187115,-20.810369,-1.176478,-0.252206,-0.069264,0.323817,0.015482,0.032256,0.023042,157,62,217,158,55,246
153,-1.803541,-27.335019,18,-95,23.087962,77.941685,83.995333,-62.021755,-20.839213,1.134717,-0.235379,-0.085696,0.321237,0.013973,0.039021,0.025278,162,136,223,162,139,281
154,-12.923854,-8.87947,18,-95,23.087962,77.941685,83.995333,-62.021755,-20.839213,1.134717,-0.235379,-0.085696,0.321237,0.013973,0.039021,0.025278,86,96,247,86,92,317
155,-9.409439,-26.525389,18,-95,23.087962,77.941685,83.995333,-62.021755,-20.839213,1.134717,-0.235379,-0.085696,0.321237,0.013973,0.039021,0.025278,159,107,223,159,105,272
156,5.534414,-1.454157,18,-95,23.327111,72.3456,75.749389,-88.257263,-20.655541,-1.76635,-0.26339,-0.053797,0.335709,0.017374,0.029581,0.024784,102,146,201,103,149,190
157,8.795658,-22.069574,18,-95,23.327111,72.3456,75.749389,-88.257263,-20.655541,-1.76635,-0.26339,-0.053797,0.335709,0.017374,0.029581,0.024784,187,160,198,188,165,188
158,-11.307635,-7.120382,18,-95,23.327111,72.3456,75.749389,-88.257263,-20.655541,-1.76635,-0.26339,-0.053797,0.335709,0.017374,0.029581,0.024784,127,82,199,128,78,189
159,-18.498719,-13.939749,18,-95,23.327111,72.3456,75.749389,-88.257263,-20.655541,-1.76635,-0.26339,-0.053797,0.335709,0.017374,0.029581,0.024784,149,51,206,151,45,205
160,9.419658,18.966044,18,-95,23.687773,63.906095,70.753238,89.999923,-8.130622,1.713416,-0.27546,-0.018234,0.355705,0.017672,0.021543,0.02515,50,143,236,51,143,215
161,8.310863,-25.048563,18,-95,23.687773,63.906095,70.753238,89.999923,-8.130622,1.713416,-0.27546,-0.018234,0.355705,0.017672,0.021543,0.02515,249,137,205,249,139,207
162,-2.23975,15.444557,18,-95,23.687773,63.906095,70.753238,89.999923,-8.130622,1.713416,-0.27546,-0.018234,0.355705,0.017672,0.021543,0.02515,69,91,206,70,90,210
163,-14.563848,-25.006177,18,-95,23.687773,63.906095,70.753238,89.999923,-8.130622,1.713416,-0.27546,-0.018234,0.355705,0.017672,0.021543,0.02515,247,34,237,250,29,226
164,7.973009,-8.675697,18,-95,23.173491,75.940293,80.360024,-88.38332,-20.655879,-1.889628,-0.248608,-0.073763,0.327054,0.01597,0.035514,0.02536,105,164,231,106,170,269
165,4.937991,-28.586248,18,-95,23.173491,75.940293,80.360024,-88.38332,-20.655879,-1.889628,-0.248608,-0.073763,0.327054,0.01597,0.035514,0.02536,187,155,219,188,160,237
166,-3.763503,4.498953,18,-95,23.173491,75.940293,80.360024,-88.38332,-20.655879,-1.889628,-0.248608,-0.073763,0.327054,0.01597,0.035514,0.02536,41,122,275,41,122,313
167,-16.259537,-24.365024,18,-95,23.173491,75.940293,80.360024,-88.38332,-20.655879,-1.889628,-0.248608,-0.073763,0.327054,0.01597,0.035514,0.02536,168,73,215,168,67,245
168,7.899832,24.066592,19,-85.398075,25.072816,31.496091,77.801314,-0.559334,0,-4.065849,-0.239766,0.06882,0.352161,0.000007,0.000027,0.000061,147,132,247,147,131,232
169,6.116598,10.834459,19,-85.398075,25.072816,31.496091,77.801314,-0.559334,0,-4.065849,-0.239766,0.06882,0.352161,0.000007,0.000027,0.000061,199,130,261,199,129,230
170,-11.145749,24.306048,19,-85.398075,25.072816,31.496091,77.801314,-0.559334,0,-4.065849,-0.239766,0.06882,0.352161,0.000007,0.000027,0.000061,147,56,281,148,64,238
172,9.475818,22.738201,19,-91.512336,24.938688,34.634692,73.048356,-0.77134,0,-2.561649,-0.239036,0.067864,0.366879,0.000001,0.000002,0.000003,152,121,282,152,121,230
173,9.642301,20.035529,19,-91.512336,24.938688,34.634692,73.048356,-0.77134,0,-2.561649,-0.239036,0.067864,0.366879,0.000001,0.000002,0.000003,156,123,257,156,122,232
174,-8.898285,28.127499,19,-91.512336,24.938688,34.634692,73.048356,-0.77134,0,-2.561649,-0.239036,0.067864,0.366879,0.000001,0.000002,0.000003,127,44,307,129,53,259
175,-2.924864,18.354557,19,-91.512336,24.938688,34.634692,73.048356,-0.77134,0,-2.561649,-0.239036,0.067864,0.366879,0.000001,0.000002,0.000003,165,65,277,166,72,242
176,1.990157,10.097236,19,-95,23.18673,75.630502,79.159974,89.971434,-8.134406,2.060669,-0.247029,-0.058056,0.318385,0.010601,0.022039,0.016039,32,158,309,32,162,328
177,-4.575588,-29.673216,19,-95,23.18673,75.630502,79.159974,89.971434,-8.134406,2.060669,-0.247029,-0.058056,0.318385,0.010601,0.022039,0.016039,213,130,229,213,130,253
179,-9.871858,-22.61385,19,-95,23.18673,75.630502,79.159974,89.971434,-8.134406,2.060669,-0.247029,-0.058056,0.318385,0.010601,0.022039,0.016039,180,107,225,180,105,234
180,9.580553,24.044825,19,-71.799791,25.322336,25.657318,87.875582,-1.532992,0,-8.931325,-0.236724,0.070984,0.318254,0.000001,0.000001,0.000003,150,191,306,151,181,252
182,-16.181616,25.981445,19,-71.799791,25.322336,25.657318,87.875582,-1.532992,0,-8.931325,-0.236724,0.070984,0.318254,0.000001,0.000001,0.000003,144,81,277,143,86,241
184,8.96407,10.091108,19,-95,23.362276,71.522723,70.74455,-11.646358,-17.5157,5.912992,-0.262698,-0.01642,0.312342,0.001479,0.001984,0.001773,93,193,253,96,195,237
185,6.887222,-10.873274,19,-95,23.362276,71.522723,70.74455,-11.646358,-17.5157,5.912992,-0.262698,-0.01642,0.312342,0.001479,0.001984,0.001773,181,186,233,184,188,222
186,-7.133629,21.934076,19,-95,23.362276,71.522723,70.74455,-11.646358,-17.5157,5.912992,-0.262698,-0.01642,0.312342,0.001479,0.001984,0.001773,36,125,269,36,127,263
187,-11.734763,-18.757584,19,-95,23.362276,71.522723,70.74455,-11.646358,-17.5157,5.912992,-0.262698,-0.01642,0.312342,0.001479,0.001984,0.001773,220,104,226,220,103,209
188,-12.871,-16.247239,19,-95,23.003139,79.92653,86.857612,-47.829062,-20.424248,2.687773,-0.221187,-0.083177,0.307124,0.008661,0.029702,0.017511,117,114,263,117,114,339
189,5.429011,-27.856775,19,-95,23.003139,79.92653,86.857612,-47.829062,-20.424248,2.687773,-0.221187,-0.083177,0.307124,0.008661,0.029702,0.017511,158,179,285,160,191,372
190,-15.088725,-2.823441,19,-95,23.003139,79.92653,86.857612,-47.829062,-20.424248,2.687773,-0.221187,-0.083177,0.307124,0.008661,0.029702,0.017511,52,109,334,51,108,427
191,-17.610722,-28.978467,19,-95,23.003139,79.92653,86.857612,-47.829062,-20.424248,2.687773,-0.221187,-0.083177,0.307124,0.008661,0.029702,0.017511,166,99,266,166,95,331
192,3.347795,23.919561,19,-86.749118,24.301195,49.552018,72.156052,-0.271108,0,-1.395965,-0.262853,0.01896,0.316895,0.000001,0.000001,0.000001,76,165,238,78,163,246
193,8.562107,-27.628744,19,-86.749118,24.301195,49.552018,72.156052,-0.271108,0,-1.395965,-0.262853,0.01896,0.316895,0.000001,0.000001,0.000001,315,198,158,316,198,116
194,-9.495088,10.639641,19,-86.749118,24.301195,49.552018,72.156052,-0.271108,0,-1.395965,-0.262853,0.01896,0.316895,0.000001,0.000001,0.000001,139,109,195,139,109,208
195,-14.390703,-22.423605,19,-86.749118,24.301195,49.552018,72.156052,-0.271108,0,-1.395965,-0.262853,0.01896,0.316895,0.000001,0.000001,0.000001,289,84,276,290,82,284
196,-0.87745,8.325134,19,-82.482899,24.412792,46.940642,75.326726,-0.468497,0,-2.586643,-0.261343,0.019681,0.307354,0,0.000002,0.000001,147,154,208,148,152,226
197,2.427237,-22.764275,19,-82.482899,24.412792,46.940642,75.326726,-0.468497,0,-2.586643,-0.261343,0.019681,0.307354,0,0.000002,0.000001,291,179,306,294,178,311
198,-12.392663,7.304793,19,-82.482899,24.412792,46.940642,75.326726,-0.468497,0,-2.586643,-0.261343,0.019681,0.307354,0,0.000002,0.000001,155,108,207,155,109,214
199,-18.534169,2.247579,19,-82.482899,24.412792,46.940642,75.326726,-0.468497,0,-2.586643,-0.261343,0.019681,0.307354,0,0.000002,0.000001,170,83,206,171,84,216
200,6.766438,-20.501561,19,-95,23.012475,79.70807,83.824311,-42.628193,-20.157206,3.255795,-0.231386,-0.074114,0.304955,0.008729,0.024304,0.014718,145,188,275,147,199,328
201,-12.073872,-28.146026,19,-95,23.012475,79.70807,83.824311,-42.628193,-20.157206,3.255795,-0.231386,-0.074114,0.304955,0.008729,0.024304,0.014718,182,123,250,182,123,300
202,-16.453664,0.667894,19,-95,23.012475,79.70807,83.824311,-42.628193,-20.157206,3.255795,-0.231386,-0.074114,0.304955,0.008729,0.024304,0.014718,53,101,307,53,98,380
203,-15.878452,-23.714044,19,-95,23.012475,79.70807,83.824311,-42.628193,-20.157206,3.255795,-0.231386,-0.074114,0.304955,0.008729,0.024304,0.014718,160,104,247,159,101,287
204,9.462426,17.579613,19,-73.100614,24.896481,35.622324,83.039355,-1.449694,0,-6.316117,-0.253205,0.041385,0.300316,0,0.000003,0.000002,134,215,267,139,208,267
206,-15.500134,25.050593,19,-73.100614,24.896481,35.622324,83.039355,-1.449694,0,-6.316117,-0.253205,0.041385,0.300316,0,0.000003,0.000002,102,104,238,102,106,239
208,8.565346,0.521621,19,-95,23.015627,79.634311,83.227372,-29.26002,-19.291369,4.547281,-0.233264,-0.072157,0.304556,0.008643,0.023181,0.014129,50,202,352,54,215,426
209,6.356458,-21.076462,19,-95,23.015627,79.634311,83.227372,-29.26002,-19.291369,4.547281,-0.233264,-0.072157,0.304556,0.008643,0.023181,0.014129,146,191,276,148,202,330
211,-19.882972,-22.847665,19,-95,23.015627,79.634311,83.227372,-29.26002,-19.291369,4.547281,-0.233264,-0.072157,0.304556,0.008643,0.023181,0.014129,159,89,247,158,84,291
212,9.493435,20.792041,19,-90.484243,24.855681,36.577067,72.415482,-0.756065,-0.000048,-2.569583,-0.245339,0.061127,0.359087,0.000002,0.000004,0.000004,149,131,239,149,130,215
213,7.716222,-14.678329,19,-90.484243,24.855681,36.577067,72.415482,-0.756065,-0.000048,-2.569583,-0.245339,0.061127,0.359087,0.000002,0.000004,0.000004,313,128,213,313,128,200
214,0.785387,22.838993,19,-90.484243,24.855681,36.577067,72.415482,-0.756065,-0.000048,-2.569583,-0.245339,0.061127,0.359087,0.000002,0.000004,0.000004,141,97,242,141,99,225
216,1.976214,9.67787,19,-95,23.164873,76.14196,76.400424,-42.230784,-20.052623,3.376684,-0.252695,-0.046124,0.309392,0.007181,0.013029,0.009472,53,168,292,55,172,289
217,9.624108,-24.636758,19,-95,23.164873,76.14196,76.400424,-42.230784,-20.052623,3.376684,-0.252695,-0.046124,0.309392,0.007181,0.013029,0.009472,203,199,264,206,207,276
218,-16.806463,-10.767302,19,-95,23.164873,76.14196,76.400424,-42.230784,-20.052623,3.376684,-0.252695,-0.046124,0.309392,0.007181,0.013029,0.009472,150,92,221,150,90,235
219,-13.31228,-20.638078,19,-95,23.164873,76.14196,76.400424,-42.230784,-20.052623,3.376684,-0.252695,-0.046124,0.309392,0.007181,0.013029,0.009472,189,102,229,188,100,237
220,-2.95652,27.583164,19,-75.152607,25.356357,24.861241,86.812944,-1.29278,0,-8.503305,-0.231953,0.076913,0.331219,0.000008,0.000007,0.000015,146,120,283,146,120,235
221,3.502624,9.981101,19,-75.152607,25.356357,24.861241,86.812944,-1.29278,0,-8.503305,-0.231953,0.076913,0.331219,0.000008,0.000007,0.000015,218,147,299,218,143,244
222,-10.51691,26.216251,19,-75.152607,25.356357,24.861241,86.812944,-1.29278,0,-8.503305,-0.231953,0.076913,0.331219,0.000008,0.000007,0.000015,153,91,279,153,95,232
223,-10.878236,-6.096301,19,-75.152607,25.356357,24.861241,86.812944,-1.29278,0,-8.503305,-0.231953,0.076913,0.331219,0.000008,0.000007,0.000015,302,81,423,302,86,359
224,0.736039,23.014081,19,-84.865571,24.32798,48.925262,73.643716,-0.01907,0,-1.717129,-0.262367,0.017627,0.311452,0.000003,0.000006,0.000004,79,159,239,80,158,246
225,-0.970712,0.241213,19,-84.865571,24.32798,48.925262,73.643716,-0.01907,0,-1.717129,-0.262367,0.017627,0.311452,0.000003,0.000006,0.000004,175,153,208,176,151,225
226,-18.95865,15.492118,19,-84.865571,24.32798,48.925262,73.643716,-0.01907,0,-1.717129,-0.262367,0.017627,0.311452,0.000003,0.000006,0.000004,114,74,212,115,76,229
227,-9.015704,-14.114699,19,-84.865571,24.32798,48.925262,73.643716,-0.01907,0,-1.717129,-0.262367,0.017627,0.311452,0.000003,0.000006,0.000004,243,115,224,243,115,239
228,5.027275,29.173668,19,-72.742036,25.422139,23.321924,89.146858,-2.003025,-0.128772,-9.385813,-0.228969,0.079268,0.326642,0,0.000002,0.000002,142,158,308,142,152,246
229,-0.924328,8.634536,19,-72.742036,25.422139,23.321924,89.146858,-2.003025,-0.128772,-9.385813,-0.228969,0.079268,0.326642,0,0.000002,0.000002,229,137,333,229,135,262
230,-13.351997,29.060288,19,-72.742036,25.422139,23.321924,89.146858,-2.003025,-0.128772,-9.385813,-0.228969,0.079268,0.326642,0,0.000002,0.000002,144,84,304,144,90,241
232,6.619531,18.551608,19,-95,23.908992,58.729584,70.919187,-8.381947,-16.859916,6.135831,-0.265055,0.004894,0.359266,0.010316,0.011646,0.016336,84,125,235,84,124,221
233,6.086692,-13.719885,19,-95,23.908992,58.729584,70.919187,-8.381947,-16.859916,6.135831,-0.265055,0.004894,0.359266,0.010316,0.011646,0.016336,223,122,209,224,122,212
234,-16.880063,17.215457,19,-95,23.908992,58.729584,70.919187,-8.381947,-16.859916,6.135831,-0.265055,0.004894,0.359266,0.010316,0.011646,0.016336,87,15,262,93,17,259
235,-4.091277,-13.209969,19,-95,23.908992,58.729584,70.919187,-8.381947,-16.859916,6.135831,-0.265055,0.004894,0.359266,0.010316,0.011646,0.016336,221,74,217,222,74,221
237,-8.303452,-16.194444,19,-95,23.066281,78.449013,77.877924,-35.455636,-19.683722,4.009053,-0.247936,-0.052122,0.301436,0.006248,0.012393,0.00818,160,134,237,160,136,236
239,-17.996769,-24.357251,19,-95,23.066281,78.449013,77.877924,-35.455636,-19.683722,4.009053,-0.247936,-0.052122,0.301436,0.006248,0.012393,0.00818,197,95,246,197,92,246
241,1.888372,-20.462997,19,-95,23.035851,79.161079,80.520958,-74.719096,-20.918743,-0.369354,-0.241194,-0.062585,0.30287,0.007812,0.017872,0.011284,161,175,249,162,182,287
242,-13.097547,12.353336,19,-95,23.035851,79.161079,80.520958,-74.719096,-20.918743,-0.369354,-0.241194,-0.062585,0.30287,0.007812,0.017872,0.011284,11,116,364,11,116,398
243,-15.98165,-21.438582,19,-95,23.035851,79.161079,80.520958,-74.719096,-20.918743,-0.369354,-0.241194,-0.062585,0.30287,0.007812,0.017872,0.011284,168,103,238,168,102,267
244,3.501258,-4.285116,19,-95,23.417435,70.231996,77.327087,-84.977485,-20.736146,-1.350541,-0.254443,-0.047775,0.340893,0.01439,0.025994,0.023224,121,132,207,121,133,196
245,4.534683,-16.394313,19,-95,23.417435,70.231996,77.327087,-84.977485,-20.736146,-1.350541,-0.254443,-0.047775,0.340893,0.01439,0.025994,0.023224,167,137,204,167,138,196
247,0.039901,-14.264654,19,-95,23.417435,70.231996,77.327087,-84.977485,-20.736146,-1.350541,-0.254443,-0.047775,0.340893,0.01439,0.025994,0.023224,157,118,220,157,118,209
248,1.516277,25.091951,19,-74.911589,25.242405,27.527704,85.147011,-1.065127,0,-7.735022,-0.239669,0.068495,0.32457,0.000001,0.000005,0.000004,142,145,255,142,141,222
250,-19.460461,22.708417,19,-74.911589,25.242405,27.527704,85.147011,-1.065127,0,-7.735022,-0.239669,0.068495,0.32457,0.000001,0.000005,0.000004,155,57,281,155,65,244
252,9.861367,15.669552,20,-95,23.619627,65.500717,79.193403,88.338068,-8.185724,1.992333,-0.246173,-0.040221,0.359984,0.01437,0.027355,0.028459,29,136,331,30,137,315
253,7.348358,-19.448017,20,-95,23.619627,65.500717,79.193403,88.338068,-8.185724,1.992333,-0.246173,-0.040221,0.359984,0.01437,0.027355,0.028459,189,124,236,189,125,239
255,0.307848,-14.742117,20,-95,23.619627,65.500717,79.193403,88.338068,-8.185724,1.992333,-0.246173,-0.040221,0.359984,0.01437,0.027355,0.028459,167,93,239,167,91,221
257,6.24506,-28.395382,20,-95,23.051273,78.800204,87.310371,-70.741085,-20.937347,0.069164,-0.217289,-0.07565,0.307953,0.006735,0.023831,0.014647,166,186,304,168,199,407
259,-19.672029,-28.773682,20,-95,23.051273,78.800204,87.310371,-70.741085,-20.937347,0.069164,-0.217289,-0.07565,0.307953,0.006735,0.023831,0.014647,173,91,283,172,85,362
260,8.876344,13.242115,20,-95,24.219347,51.467276,72.433335,-2.194802,-15.997138,6.378396,-0.24872,0.032454,0.364396,0.00256,0.002678,0.004891,147,124,223,147,123,239
261,9.440156,-6.182864,20,-95,24.219347,51.467276,72.433335,-2.194802,-15.997138,6.378396,-0.24872,0.032454,0.364396,0.00256,0.002678,0.004891,227,128,240,227,128,260
262,-18.231555,11.330829,20,-95,24.219347,51.467276,72.433335,-2.194802,-15.997138,6.378396,-0.24872,0.032454,0.364396,0.00256,0.002678,0.004891,154,5,165,161,9,300
263,5.621214,9.057019,20,-95,24.219347,51.467276,72.433335,-2.194802,-15.997138,6.378396,-0.24872,0.032454,0.364396,0.00256,0.002678,0.004891,161,107,210,161,108,234
264,7.823413,17.26043,20,-95,24.125326,53.667347,71.962921,-3.276078,-16.179489,6.342641,-0.251109,0.026838,0.358806,0.002265,0.002433,0.004091,121,128,224,121,127,242
265,9.058614,-21.339539,20,-95,24.125326,53.667347,71.962921,-3.276078,-16.179489,6.342641,-0.251109,0.026838,0.358806,0.002265,0.002433,0.004091,297,135,311,297,136,335
266,-14.699718,20.703317,20,-95,24.125326,53.667347,71.962921,-3.276078,-16.179489,6.342641,-0.251109,0.026838,0.358806,0.002265,0.002433,0.004091,104,25,271,108,31,283
267,-12.341716,-21.696322,20,-95,24.125326,53.667347,71.962921,-3.276078,-16.179489,6.342641,-0.251109,0.026838,0.358806,0.002265,0.002433,0.004091,300,26,358,305,28,389
268,6.212267,-20.03107,20,-95,23.334332,72.176628,86.718476,-84.68393,-20.75196,-1.41605,-0.221241,-0.075196,0.343896,0.011442,0.037721,0.029717,143,134,254,142,136,303
269,8.717162,-28.336459,20,-95,23.334332,72.176628,86.718476,-84.68393,-20.75196,-1.41605,-0.221241,-0.075196,0.343896,0.011442,0.037721,0.029717,171,145,255,171,150,326
270,-7.350867,-19.156125,20,-95,23.334332,72.176628,86.718476,-84.68393,-20.75196,-1.41605,-0.221241,-0.075196,0.343896,0.011442,0.037721,0.029717,136,90,261,136,85,332
271,-19.686048,-27.413781,20,-95,23.334332,72.176628,86.718476,-84.68393,-20.75196,-1.41605,-0.221241,-0.075196,0.343896,0.011442,0.037721,0.029717,165,44,287,165,29,369
272,2.21119,9.074888,20,-83.565592,24.496397,44.984306,77.249275,-0.921093,0,-3.495809,-0.25153,0.023857,0.319267,0.000001,0.000003,0.000003,150,154,210,151,152,227
273,5.252207,-8.805934,20,-83.565592,24.496397,44.984306,77.249275,-0.921093,0,-3.495809,-0.25153,0.023857,0.319267,0.000001,0.000003,0.000003,227,173,239,229,171,259
274,-6.600091,22.715153,20,-83.565592,24.496397,44.984306,77.249275,-0.921093,0,-3.495809,-0.25153,0.023857,0.319267,0.000001,0.000003,0.000003,91,120,239,91,121,260
275,-7.691512,1.7475,20,-83.565592,24.496397,44.984306,77.249275,-0.921093,0,-3.495809,-0.25153,0.023857,0.319267,0.000001,0.000003,0.000003,178,114,210,178,114,223
276,-9.111188,11.783348,20,-95,23.225564,74.721792,77.090247,44.406993,-11.467921,6.014138,-0.24578,-0.036885,0.308761,0.003044,0.005651,0.004308,56,122,299,56,123,296
277,-0.24475,-18.265786,20,-95,23.225564,74.721792,77.090247,44.406993,-11.467921,6.014138,-0.24578,-0.036885,0.308761,0.003044,0.005651,0.004308,187,159,253,188,162,253
278,-11.498711,18.100032,20,-95,23.225564,74.721792,77.090247,44.406993,-11.467921,6.014138,-0.24578,-0.036885,0.308761,0.003044,0.005651,0.004308,22,113,352,22,114,331
279,-17.084314,-19.201465,20,-95,23.225564,74.721792,77.090247,44.406993,-11.467921,6.014138,-0.24578,-0.036885,0.308761,0.003044,0.005651,0.004308,192,90,247,192,87,224
280,7.796394,13.036382,20,-94.811686,24.349567,48.42012,69.443779,-0.05546,0,-0.405747,-0.250047,0.031854,0.352584,0.000005,0.000008,0.000008,146,133,196,146,132,226
281,5.810783,-1.227366,20,-94.811686,24.349567,48.42012,69.443779,-0.05546,0,-0.405747,-0.250047,0.031854,0.352584,0.000005,0.000008,0.000008,203,129,225,203,128,236
282,-16.341425,25.279237,20,-94.811686,24.349567,48.42012,69.443779,-0.05546,0,-0.405747,-0.250047,0.031854,0.352584,0.000005,0.000008,0.000008,90,26,272,93,34,284
283,-7.697779,-5.276783,20,-94.811686,24.349567,48.42012,69.443779,-0.05546,0,-0.405747,-0.250047,0.031854,0.352584,0.000005,0.000008,0.000008,222,64,235,223,67,260
284,-16.181944,21.221083,20,-75.307892,24.706133,40.076514,83.510933,-0.909856,-0.000032,-6.021825,-0.247592,0.027697,0.301509,0,0.000003,0.000002,103,98,253,103,101,262
285,-0.899485,0.370168,20,-75.307892,24.706133,40.076514,83.510933,-0.909856,-0.000032,-6.021825,-0.247592,0.027697,0.301509,0,0.000003,0.000002,189,166,230,191,164,255
286,-19.691391,18.804397,20,-75.307892,24.706133,40.076514,83.510933,-0.909856,-0.000032,-6.021825,-0.247592,0.027697,0.301509,0,0.000003,0.000002,115,88,239,115,90,253
287,-19.955603,1.176255,20,-75.307892,24.706133,40.076514,83.510933,-0.909856,-0.000032,-6.021825,-0.247592,0.027697,0.301509,0,0.000003,0.000002,186,83,241,187,85,249
288,-10.087428,21.158542,20,-92.260591,23.576348,66.513439,74.677817,-0.07484,-1.197086,0.280176,-0.248857,-0.022771,0.30124,0.000001,0.000002,0,28,127,347,29,129,320
289,-10.627348,-8.612196,20,-92.260591,23.576348,66.513439,74.677817,-0.07484,-1.197086,0.280176,-0.248857,-0.022771,0.30124,0.000001,0.000002,0,163,125,237,164,125,223
290,-19.790565,23.172925,20,-92.260591,23.576348,66.513439,74.677817,-0.07484,-1.197086,0.280176,-0.248857,-0.022771,0.30124,0.000001,0.000002,0,16,82,370,17,84,349
291,-17.446826,-10.532675,20,-92.260591,23.576348,66.513439,74.677817,-0.07484,-1.197086,0.280176,-0.248857,-0.022771,0.30124,0.000001,0.000002,0,172,95,249,172,94,236
292,5.245692,-24.559374,20,-95,23.08472,78.017561,88.443641,-22.114856,-18.714673,5.141988,-0.213621,-0.079388,0.313449,0.007238,0.028006,0.017626,147,172,297,149,183,402
293,-6.688843,-28.724218,20,-95,23.08472,78.017561,88.443641,-22.114856,-18.714673,5.141988,-0.213621,-0.079388,0.313449,0.007238,0.028006,0.017626,167,135,277,167,138,369
295,-10.622899,-28.57939,20,-95,23.08472,78.017561,88.443641,-22.114856,-18.714673,5.141988,-0.213621,-0.079388,0.313449,0.007238,0.028006,0.017626,164,117,278,164,117,359
297,-0.878848,-24.267452,20,-95,23.071136,78.335394,83.808258,-32.334391,-19.496562,4.282387,-0.228361,-0.064303,0.305599,0.00618,0.017086,0.010916,171,161,272,172,167,318
298,-19.230544,1.710869,20,-95,23.071136,78.335394,83.808258,-32.334391,-19.496562,4.282387,-0.228361,-0.064303,0.305599,0.00618,0.017086,0.010916,59,91,330,60,87,375
299,-19.755233,-19.212626,20,-95,23.071136,78.335394,83.808258,-32.334391,-19.496562,4.282387,-0.228361,-0.064303,0.305599,0.00618,0.017086,0.010916,150,88,270,150,84,313
300,-4.278732,21.807507,20,-79.873576,24.858873,36.502352,81.179586,-1.074732,0,-5.371829,-0.244515,0.044429,0.325259,0,0.000002,0.000001,125,121,239,125,121,244
301,7.33987,6.65055,20,-79.873576,24.858873,36.502352,81.179586,-1.074732,0,-5.371829,-0.244515,0.044429,0.325259,0,0.000002,0.000001,185,171,253,187,167,245
302,-16.747953,25.093018,20,-79.873576,24.858873,36.502352,81.179586,-1.074732,0,-5.371829,-0.244515,0.044429,0.325259,0,0.000002,0.000001,109,68,256,109,74,257
