,I1,I2,I3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5,I6,I7,I8,I9
698,1.860513,29.756884,29,-84.576805,24.960927,34.114301,96.014741,-1.910126,0,-9.302068,-0.176461,0.045602,0.355853,0.000002,0.000004,0.000003,121,93,640,121,98,531
700,8.435694,27.863762,29,-78.578501,24.933305,34.760639,98.696007,-1.464665,0,-10.637427,-0.183387,0.037417,0.335856,0.000002,0.000003,0.000003,111,164,533,111,157,513
702,-16.071189,27.611466,29,-78.578501,24.933305,34.760639,98.696007,-1.464665,0,-10.637427,-0.183387,0.037417,0.335856,0.000002,0.000003,0.000003,112,57,554,112,68,526
703,-9.861752,9.667368,29,-78.578501,24.933305,34.760639,98.696007,-1.464665,0,-10.637427,-0.183387,0.037417,0.335856,0.000002,0.000003,0.000003,184,83,486,185,88,494
705,7.561635,-24.388093,29,-95,23.710757,63.368272,93.037342,69.859182,-9.138339,3.916236,-0.185696,-0.03279,0.351556,0.001828,0.011946,0.012295,202,128,506,202,130,506
706,3.429829,6.619143,29,-95,23.710757,63.368272,93.037342,69.859182,-9.138339,3.916236,-0.185696,-0.03279,0.351556,0.001828,0.011946,0.012295,67,112,590,67,111,598
707,-0.021317,-17.212303,29,-95,23.710757,63.368272,93.037342,69.859182,-9.138339,3.916236,-0.185696,-0.03279,0.351556,0.001828,0.011946,0.012295,169,99,492,169,95,505
708,1.719938,-3.311802,29,-95,23.607143,65.79283,93.412298,68.938589,-9.226978,4.068818,-0.184892,-0.035085,0.339719,0.001103,0.007592,0.007183,110,127,494,110,128,506
709,-0.699751,-26.479657,29,-95,23.607143,65.79283,93.412298,68.938589,-9.226978,4.068818,-0.184892,-0.035085,0.339719,0.001103,0.007592,0.007183,207,118,503,207,118,506
710,-12.587703,-10.772468,29,-95,23.607143,65.79283,93.412298,68.938589,-9.226978,4.068818,-0.184892,-0.035085,0.339719,0.001103,0.007592,0.007183,142,74,500,144,66,508
711,-10.161309,-14.150544,29,-95,23.607143,65.79283,93.412298,68.938589,-9.226978,4.068818,-0.184892,-0.035085,0.339719,0.001103,0.007592,0.007183,149,78,492,151,71,523
712,7.342127,24.965988,29,-73.281825,25.024799,32.619692,102.790674,-1.729584,0,-12.19934,-0.180954,0.039313,0.323252,0.000011,0.000013,0.00001,126,187,630,128,176,554
713,-7.594669,2.20286,29,-73.281825,25.024799,32.619692,102.790674,-1.729584,0,-12.19934,-0.180954,0.039313,0.323252,0.000011,0.000013,0.00001,223,126,599,223,124,544
714,-18.35709,28.610818,29,-73.281825,25.024799,32.619692,102.790674,-1.729584,0,-12.19934,-0.180954,0.039313,0.323252,0.000011,0.000013,0.00001,111,75,590,110,84,541
715,-10.436264,17.911281,29,-73.281825,25.024799,32.619692,102.790674,-1.729584,0,-12.19934,-0.180954,0.039313,0.323252,0.000011,0.000013,0.00001,151,106,553,151,108,506
716,2.206652,28.243754,29,-71.927899,25.141185,29.897083,105.09616,-1.687489,-0.000185,-12.981082,-0.17524,0.046675,0.32381,0.000009,0.00001,0.000007,129,163,660,130,155,549
718,-12.924689,27.102455,29,-71.927899,25.141185,29.897083,105.09616,-1.687489,-0.000185,-12.981082,-0.17524,0.046675,0.32381,0.000009,0.00001,0.000007,136,101,652,135,105,520
720,9.248637,25.469744,29,-92.155669,24.06539,55.069849,88.557449,-2.384167,0,-4.407175,-0.193501,-0.010228,0.337053,0,0.000004,0.000003,15,170,711,18,169,705
721,8.221977,-29.9297,29,-92.155669,24.06539,55.069849,88.557449,-2.384167,0,-4.407175,-0.193501,-0.010228,0.337053,0,0.000004,0.000003,278,162,627,279,167,635
722,-12.635061,24.127832,29,-92.155669,24.06539,55.069849,88.557449,-2.384167,0,-4.407175,-0.193501,-0.010228,0.337053,0,0.000004,0.000003,23,67,684,25,69,673
723,-2.976014,-9.357411,29,-92.155669,24.06539,55.069849,88.557449,-2.384167,0,-4.407175,-0.193501,-0.010228,0.337053,0,0.000004,0.000003,178,112,453,179,111,480
724,7.536324,7.083876,29,-95,23.729383,62.932431,91.010764,4.606082,-15.688791,6.557688,-0.191163,-0.020677,0.343246,0.000508,0.002475,0.002616,91,144,516,92,146,523
725,5.954291,-17.778019,29,-95,23.729383,62.932431,91.010764,4.606082,-15.688791,6.557688,-0.191163,-0.020677,0.343246,0.000508,0.002475,0.002616,196,139,468,197,141,462
726,-14.956803,10.067242,29,-95,23.729383,62.932431,91.010764,4.606082,-15.688791,6.557688,-0.191163,-0.020677,0.343246,0.000508,0.002475,0.002616,73,50,593,77,45,584
727,-4.809812,-16.230087,29,-95,23.729383,62.932431,91.010764,4.606082,-15.688791,6.557688,-0.191163,-0.020677,0.343246,0.000508,0.002475,0.002616,189,92,479,190,90,461
728,-8.817849,5.621248,29,-83.297216,24.192911,52.085989,95.099069,-1.350332,-0.000124,-6.73017,-0.190458,-0.011758,0.313658,0.000001,0.000006,0.000003,115,131,518,116,132,525
729,-12.714378,-8.42422,29,-83.297216,24.192911,52.085989,95.099069,-1.350332,-0.000124,-6.73017,-0.190458,-0.011758,0.313658,0.000001,0.000006,0.000003,170,117,505,171,116,504
730,-15.086946,3.001443,29,-83.297216,24.192911,52.085989,95.099069,-1.350332,-0.000124,-6.73017,-0.190458,-0.011758,0.313658,0.000001,0.000006,0.000003,127,106,529,128,106,526
731,-14.718828,-21.659543,29,-83.297216,24.192911,52.085989,95.099069,-1.350332,-0.000124,-6.73017,-0.190458,-0.011758,0.313658,0.000001,0.000006,0.000003,232,108,567,233,106,568
732,4.594206,13.612981,30,-95,23.57347,66.580783,95.809977,-23.673914,-18.63117,5.117286,-0.176647,-0.040059,0.338072,0.000808,0.009101,0.008272,11,144,546,10,148,609
733,5.474113,-26.33658,30,-95,23.57347,66.580783,95.809977,-23.673914,-18.63117,5.117286,-0.176647,-0.040059,0.338072,0.000808,0.009101,0.008272,192,144,526,192,150,604
734,-9.41279,-1.93399,30,-95,23.57347,66.580783,95.809977,-23.673914,-18.63117,5.117286,-0.176647,-0.040059,0.338072,0.000808,0.009101,0.008272,88,89,581,88,83,633
735,-1.395173,-26.643074,30,-95,23.57347,66.580783,95.809977,-23.673914,-18.63117,5.117286,-0.176647,-0.040059,0.338072,0.000808,0.009101,0.008272,194,117,525,193,117,576
