I0,I1,I2,O0,O1,O2,O3,O4,O5,O6,FX,FY,FZ,E1,E2,E3,I3,I4,I5,I6,I7,I8
9.977154,12.474684,34,-95,23.873112,59.56917,96.798336,-60.496953,-20.611388,1.672935,-0.169187,-0.020502,0.357452,0.000396,0.00796,0.009116,57,122,827,58,122,887
9.954106,-10.507793,34,-95,23.873112,59.56917,96.798336,-60.496953,-20.611388,1.672935,-0.169187,-0.020502,0.357452,0.000396,0.00796,0.009116,157,122,664,158,123,705
9.244528,-5.881462,34,-95,23.873112,59.56917,96.798336,-60.496953,-20.611388,1.672935,-0.169187,-0.020502,0.357452,0.000396,0.00796,0.009116,145,120,663,146,120,716
-12.440181,-22.761644,34,-95,23.873112,59.56917,96.798336,-60.496953,-20.611388,1.672935,-0.169187,-0.020502,0.357452,0.000396,0.00796,0.009116,210,34,828,218,20,924
-13.651239,12.050012,34,-83.481666,24.248781,50.778521,100.031706,-0.776535,0,-8.710317,-0.170857,-0.009662,0.317826,0.000001,0.000002,0,86,110,768,87,111,804
-10.496413,-5.82498,34,-83.481666,24.248781,50.778521,100.031706,-0.776535,0,-8.710317,-0.170857,-0.009662,0.317826,0.000001,0.000002,0,160,124,700,161,124,718
-19.903919,3.869941,34,-83.481666,24.248781,50.778521,100.031706,-0.776535,0,-8.710317,-0.170857,-0.009662,0.317826,0.000001,0.000002,0,124,89,729,126,88,745
-19.32146,-12.921683,34,-83.481666,24.248781,50.778521,100.031706,-0.776535,0,-8.710317,-0.170857,-0.009662,0.317826,0.000001,0.000002,0,192,89,730,193,86,755
8.862157,25.586984,34,-88.261242,24.656013,41.249273,96.313305,-1.683832,0,-8.583462,-0.168013,0.024445,0.354596,0.000003,0.000007,0.000006,100,124,776,101,122,715
0.512187,24.634301,34,-88.261242,24.656013,41.249273,96.313305,-1.683832,0,-8.583462,-0.168013,0.024445,0.354596,0.000003,0.000007,0.000006,104,86,778,106,90,713
-0.300215,3.946797,34,-88.261242,24.656013,41.249273,96.313305,-1.683832,0,-8.583462,-0.168013,0.024445,0.354596,0.000003,0.000007,0.000006,190,82,746,192,87,691
